nama_produk,nama_produk_1,nama_produk_2,harga_jual_fix,stock_tersedia_v2,customer_id,sku_induk_spesial,total_omset,voucher_diskon_persen,status_pesanan
Rok Tutu Panjang Dewasa,Rok Tutu Panjang Dewasa,ROK TUTU PANJANG DEWASA,80000,20,CUST019,SKU-TUT-19,1600000,5,Dikirim
Hijab Segiempat Voal,Hijab Segiempat Voal,HIJAB SEGIEMPAT VOAL,35000,80,CUST020,SKU-HIJ-20,2800000,0,Selesai
Pouch Makeup Travel,Pouch Makeup Travel,POUCH MAKEUP TRAVEL,45000,35,CUST021,SKU-POU-21,1575000,10,Selesai
Tote Bag Canvas Polos,Tote Bag Canvas Polos,TOTE BAG CANVAS POLOS,29000,90,CUST022,SKU-TOT-22,2610000,0,Dibatalkan
Sepatu Pantofel Kulit,Sepatu Pantofel Kulit,SEPATU PANTOFEL KULIT,320000,7,CUST023,SKU-PAN-23,2240000,15,Selesai
Cardigan Rajut Outer,Cardigan Rajut Outer,CARDIGAN RAJUT OUTER,115000,21,CUST024,SKU-CAR-24,2415000,0,Diproses
Manset Kaos Premium,Manset Kaos Premium,MANSET KAOS PREMIUM,27000,60,CUST025,SKU-MAN-25,1620000,5,Selesai
Celana Jogger Fleece,Celana Jogger Fleece,CELANA JOGGER FLEECE,145000,19,CUST026,SKU-JOG-26,2755000,0,Dikirim
Rompi Motor Windproof,Rompi Motor Windproof,ROMPI MOTOR WINDPROOF,165000,13,CUST027,SKU-ROM-27,2145000,10,Selesai
Sarung Tangan Kulit,Sarung Tangan Kulit,SARUNG TANGAN KULIT,75000,40,CUST028,SKU-SAR-28,3000000,0,Selesai
Masker Kain 3 Ply Isi 10,Masker Kain 3 Ply Isi 10,MASKER KAIN 3 PLY ISI 10,30000,150,CUST029,SKU-MAS-29,4500000,0,Selesai
Jersey Sepeda Dryfit,Jersey Sepeda Dryfit,JERSEY SEPEDA DRYFIT,135000,17,CUST030,SKU-JER-30,2295000,5,Dibatalkan
Celana Boxer Katun,Celana Boxer Katun,CELANA BOXER KATUN,20000,120,CUST031,SKU-BOX-31,2400000,10,Selesai
Singlet Pria Rider,Singlet Pria Rider,SINGLET PRIA RIDER,35000,55,CUST032,SKU-SIN-32,1925000,0,Diproses
Daster Batik Busui Friendly,Daster Batik Busui Friendly,DASTER BATIK BUSUI FRIENDLY,65000,42,CUST033,SKU-DAS-33,2730000,0,Selesai
Jaket Parka Canvas,Jaket Parka Canvas,JAKET PARKA CANVAS,280000,9,CUST034,SKU-PAR-34,2520000,15,Dikirim
Sandal Selop Rumah,Sandal Selop Rumah,SANDAL SELOP RUMAH,18000,85,CUST035,SKU-SEL-35,1530000,0,Selesai
Gamis Syari Set Hijab,Gamis Syari Set Hijab,GAMIS SYARI SET HIJAB,245000,11,CUST036,SKU-GAM-36,2695000,5,Selesai
Kurta Pria Pakistan,Kurta Pria Pakistan,KURTA PRIA PAKISTAN,160000,16,CUST037,SKU-KUR-37,2560000,10,Dibatalkan
Peci Rajut Elastis,Peci Rajut Elastis,PECI RAJUT ELASTIS,12000,110,CUST038,SKU-PEC-38,1320000,0,Selesai
Briefs Pria Isi 3,Briefs Pria Isi 3,BRIEFS PRIA ISI 3,55000,38,CUST039,SKU-BRI-39,2090000,0,Diproses
Sport Bra Wanita Seamless,Sport Bra Wanita Seamless,SPORT BRA WANITA SEAMLESS,70000,33,CUST040,SKU-SPO-40,2310000,5,Selesai
Legging Wudhu Muslimah,Legging Wudhu Muslimah,LEGGING WUDHU MUSLIMAH,55000,27,CUST041,SKU-LEG-41,1485000,0,Dikirim
Scarf Motif Premium,Scarf Motif Premium,SCARF MOTIF PREMIUM,110000,23,CUST042,SKU-SCA-42,2530000,10,Selesai
Cufflinks Kemeja Silver,Cufflinks Kemeja Silver,CUFFLINKS KEMEJA SILVER,45000,48,CUST043,SKU-CUF-43,2160000,0,Selesai
Dasi Pria Hitam Polos,Dasi Pria Hitam Polos,DASI PRIA HITAM POLOS,25000,75,CUST044,SKU-DAS-44,1875000,0,Dibatalkan
Blazer Wanita Kantor,Blazer Wanita Kantor,BLAZER WANITA KANTOR,225000,10,CUST045,SKU-BLA-45,2250000,15,Selesai
Outer Lace Tulle,Outer Lace Tulle,OUTER LACE TULLE,135000,15,CUST046,SKU-OUT-46,2025000,5,Diproses
Sandal Wedges Wanita,Sandal Wedges Wanita,SANDAL WEDGES WANITA,175000,14,CUST047,SKU-WED-47,2450000,0,Selesai
Flat Shoes Wanita,Flat Shoes Wanita,FLAT SHOES WANITA,120000,22,CUST048,SKU-FLA-48,2640000,10,Dikirim
Tas Selempang Slingbag,Tas Selempang Slingbag,TAS SELEMPANG SLINGBAG,89000,31,CUST049,SKU-SLI-49,2759000,0,Selesai
Mukenah Travel Parasut,Mukenah Travel Parasut,MUKENAH TRAVEL PARASUT,75000,40,CUST050,SKU-MUK-50,3000000,5,Selesai
